1 0 1
1 0 1
2 0 2
2 0 2
3 0 3
3 0 3
4 0 4
4 0 4
5 0 5
5 0 5
6 0 6
6 0 6
7 0 7
7 0 7
8 0 8
8 0 8
9 0 10
9 0 10
10 0 11
10 0 11
11 0 12
11 0 12
12 0 13
12 0 13
13 0 17
13 0 17
14 0 19
14 0 19
15 0 21
15 0 21
16 0 31
16 0 31
17 1 2
17 1 2
18 1 3
18 1 3
19 1 7
19 1 7
20 1 13
20 1 13
21 1 17
21 1 17
22 1 19
22 1 19
23 1 21
23 1 21
24 1 30
24 1 30
25 2 3
25 2 3
26 2 32
26 2 32
27 2 7
27 2 7
28 2 8
28 2 8
29 2 9
29 2 9
30 2 13
30 2 13
31 2 27
31 2 27
32 2 28
32 2 28
33 3 7
33 3 7
34 3 12
34 3 12
35 3 13
35 3 13
36 4 10
36 4 10
37 4 6
37 4 6
38 5 16
38 5 16
39 5 10
39 5 10
40 5 6
40 5 6
41 6 16
41 6 16
42 8 32
42 8 32
43 8 30
43 8 30
44 8 33
44 8 33
45 9 33
45 9 33
46 13 33
46 13 33
47 14 32
47 14 32
48 14 33
48 14 33
49 15 32
49 15 32
50 15 33
50 15 33
51 18 32
51 18 32
52 18 33
52 18 33
53 19 33
53 19 33
54 20 32
54 20 32
55 20 33
55 20 33
56 22 32
56 22 32
57 22 33
57 22 33
58 23 32
58 23 32
59 23 25
59 23 25
60 23 27
60 23 27
61 23 29
61 23 29
62 23 33
62 23 33
63 24 25
63 24 25
64 24 27
64 24 27
65 24 31
65 24 31
66 25 31
66 25 31
67 26 33
67 26 33
68 26 29
68 26 29
69 27 33
69 27 33
70 28 33
70 28 33
71 28 31
71 28 31
72 29 32
72 29 32
73 29 33
73 29 33
74 30 33
74 30 33
75 30 32
75 30 32
76 31 33
76 31 33
77 31 32
77 31 32
78 32 33
78 32 33
